trade_id,amount,timestamp,counterparty_id
e610dea6,40445.32,1712000000,340
f4722d11,9480.84,1712000001,201
f5f9e41e,36594.96,1712000002,301
89302e8b,43758.66,1712000003,467
3397a8d5,9197.24,1712000004,257
119b1e42,17132.68,1712000005,322
fe2f02d4,1384.79,1712000006,134
c6efaf1a,44303.29,1712000007,279
dab77038,14968.4,1712000008,432
7071184a,36773.78,1712000009,309
3a177e73,7767.6,1712000010,304
5cef377d,5053.93,1712000011,463
57b0fdff,29984.35,1712000012,493
aa48b2eb,17590.34,1712000013,462
49057cf1,46207.32,1712000014,244
88ea4f37,20605.32,1712000015,166
a6380251,32528.43,1712000016,174
181c3605,35713.76,1712000017,434
264d28b7,8550.74,1712000018,338
f315cd20,27465.74,1712000019,410
fe056a2e,38380.94,1712000020,360
384a2b32,4616.31,1712000021,349
25f740a3,14472.12,1712000022,461
edcf8c39,9672.7,1712000023,323
4c1a6696,11209.64,1712000024,227
741f160f,49760.57,1712000025,448
591a9b19,15525.55,1712000026,433
ba732ba7,38517.7,1712000027,267
959ded31,10247.71,1712000028,141
ec7d9288,13039.83,1712000029,155
fc32dbb3,7089.49,1712000030,129
442d60f9,5055.39,1712000031,412
4215eafa,30706.22,1712000032,143
24498a43,40969.88,1712000033,183
25c1009a,37125.65,1712000034,499
043c9ed4,21551.75,1712000035,369
a0769093,31984.55,1712000036,378
b9ac6c1a,37374.96,1712000037,262
16d2b0d2,20919.67,1712000038,334
fffb4c79,45430.76,1712000039,129
21bae185,7424.06,1712000040,477
6aa1ce43,17305.81,1712000041,205
bf0d9643,9014.2,1712000042,243
10869d67,12966.35,1712000043,399
3e57168c,22800.02,1712000044,221
bc9c8571,20481.89,1712000045,362
38a3c57b,20937.75,1712000046,433
d8e94783,44299.7,1712000047,405
59ec4dd1,18071.89,1712000048,161
6ae0e9b2,31147.46,1712000049,340
9e4b33b3,37271.07,1712000050,119
e7dbdd44,17232.77,1712000051,256
dc9fe103,40901.51,1712000052,295
a6af2b49,8470.01,1712000053,130
477d7b94,6016.09,1712000054,403
8b457f1c,28547.85,1712000055,128
31969221,20530.36,1712000056,268
4726ae09,34854.95,1712000057,377
d38ba142,13574.68,1712000058,105
9aa85054,25210.08,1712000059,203
d704c047,42095.39,1712000060,292
ee735ab7,32318.56,1712000061,297
6dac9050,2728.38,1712000062,156
7650ca8a,11681.12,1712000063,348
2a6dbbea,14001.19,1712000064,355
c9cdc192,29972.01,1712000065,159
eedb7fc6,26885.08,1712000066,274
a67e0962,42950.03,1712000067,314
e5fe75e1,49105.82,1712000068,343
4ad913a3,22011.82,1712000069,269
ffe8cd2c,14997.42,1712000070,490
c7b48b25,4420.99,1712000071,224
1f850971,36937.43,1712000072,474
a06c62a2,48523.99,1712000073,317
495cb70b,35248.38,1712000074,432
ca13c839,49290.86,1712000075,282
8f3b3d7b,40586.79,1712000076,189
d02da864,5385.98,1712000077,127
a7073fe6,39741.43,1712000078,408
c32553b5,19300.58,1712000079,413
56b4d774,35778.99,1712000080,412
72a8a48c,25675.2,1712000081,376
4ffd1c49,32629.82,1712000082,287
3a141b0d,5513.87,1712000083,479
62980659,9537.7,1712000084,408
d0c18dcc,9058.61,1712000085,474
82275ae3,4264.93,1712000086,156
85607b2f,12626.75,1712000087,336
bca65e67,27380.05,1712000088,339
3fcd526f,10304.88,1712000089,283
3429a120,47167.15,1712000090,184
6a0dcae5,17244.56,1712000091,418
cf141f05,42477.3,1712000092,157
584a1ab6,12797.31,1712000093,306
1d5bad3f,14130.61,1712000094,341
6f452340,35285.54,1712000095,261
8d2c5ed4,42940.64,1712000096,319
38c13e48,46787.81,1712000097,162
78b3facd,23403.95,1712000098,456
070bbf82,13276.58,1712000099,236
fa94299b,23288.92,1712000100,175
92024904,44672.23,1712000101,229
f6ed7bc1,11609.44,1712000102,362
897611ea,46378.57,1712000103,418
c78b5971,36313.31,1712000104,331
44299e90,20272.42,1712000105,195
8e5eede1,29718.03,1712000106,399
a758eb1d,41334.93,1712000107,457
9bac74c7,16043.36,1712000108,292
be75d04a,7266.82,1712000109,114
4e6e2e41,40006.77,1712000110,170
eb5d2ac6,13017.32,1712000111,216
fb696c2f,21581.1,1712000112,366
95f61585,12599.93,1712000113,179
9cc8855b,40279.4,1712000114,175
fc4ecbc3,17138.79,1712000115,179
69840c32,21760.03,1712000116,323
766fa2e5,25125.27,1712000117,435
396c0673,23892.27,1712000118,298
a1e790c9,25762.02,1712000119,236
0b663d82,42399.47,1712000120,209
11aac164,1728.23,1712000121,243
740be454,21486.67,1712000122,486
83db4d32,47143.81,1712000123,275
40831f07,5966.22,1712000124,311
243c1fab,43374.6,1712000125,292
c1eef66d,34119.02,1712000126,137
5263cf31,42349.55,1712000127,493
bbe7e88a,3638.24,1712000128,110
4bd110a1,11568.17,1712000129,261
357e64bb,23451.48,1712000130,285
6f5390a4,41846.06,1712000131,230
dd251513,16055.54,1712000132,423
fde92819,44112.25,1712000133,424
cc6611cd,21468.88,1712000134,450
ffca1102,49252.81,1712000135,424
25064d61,45852.93,1712000136,305
8688ed57,2370.26,1712000137,487
978b6fcc,34442.03,1712000138,405
5050e1ae,13769.8,1712000139,426
e7d4bed7,6465.96,1712000140,438
2b1a0754,17845.4,1712000141,198
432b43fd,19293.94,1712000142,307
d4601e3f,10324.88,1712000143,440
bd9f5b67,44996.46,1712000144,106
325918cb,4614.08,1712000145,271
ae9c060c,46765.04,1712000146,463
5cece547,25374.23,1712000147,495
e8d75b75,18298.88,1712000148,353
7b176c64,45615.11,1712000149,232
65de2693,26033.23,1712000150,403
252a7781,40562.67,1712000151,274
be1de9b6,28965.08,1712000152,311
724ff98b,48728.32,1712000153,227
db8a8432,24444.47,1712000154,310
85244f1e,26870.06,1712000155,347
676ba88d,10983.84,1712000156,213
5c0962cf,43679.76,1712000157,425
9e11d0c6,9053.45,1712000158,100
3ffef6b8,16570.95,1712000159,210
54ec8982,31022.72,1712000160,385
a8bae7fc,2768.77,1712000161,320
50123ecb,13723.8,1712000162,350
9e7f4649,44488.17,1712000163,495
d021080c,8548.59,1712000164,308
50b55c53,24122.99,1712000165,241
75ae917f,1760.75,1712000166,237
d9b6a4cc,20920.11,1712000167,264
1b10ef3a,2591.65,1712000168,214
a9009829,29943.97,1712000169,416
f8cab4c5,29873.9,1712000170,421
1c4ae8bd,29008.84,1712000171,272
ccdda581,16182.76,1712000172,346
17e00c31,36103.46,1712000173,356
dc111ee0,33979.28,1712000174,411
b68256a1,40047.66,1712000175,292
b4f73e44,46263.64,1712000176,460
e640a149,43234.08,1712000177,292
35babdf5,38713.1,1712000178,369
2f7db3db,23238.58,1712000179,296
76405b50,18030.02,1712000180,134
4e251794,35771.34,1712000181,163
860a2147,8338.49,1712000182,416
0afb28be,13676.73,1712000183,459
dcdf5d48,15939.05,1712000184,342
59060f23,1137.84,1712000185,250
d4985db2,41553.33,1712000186,478
20f6a4a0,32293.32,1712000187,480
1b127224,29576.37,1712000188,488
ce6368c9,19696.05,1712000189,226
7d636985,15919.0,1712000190,483
8a4e17a5,41532.94,1712000191,119
af9c41a6,25595.09,1712000192,269
9acb6a2d,7872.19,1712000193,365
a034ec9d,2391.0,1712000194,368
48882409,31494.29,1712000195,490
f5bfc760,13927.14,1712000196,494
af5291ef,37510.74,1712000197,158
f34e898f,22100.84,1712000198,375
810ac32f,32637.57,1712000199,110
06b9a18f,13580.28,1712000200,216
f658a6ff,5360.87,1712000201,216
99a8ea8b,27622.52,1712000202,343
c44ba5bb,6354.24,1712000203,107
7fc079cb,48244.03,1712000204,320
a4079852,12348.18,1712000205,295
4919d7a2,44805.46,1712000206,191
056a5ee3,39380.31,1712000207,280
c569d7fe,47982.27,1712000208,427
70edeba0,34785.53,1712000209,359
3a0fce16,18787.01,1712000210,487
a28d561c,22451.32,1712000211,147
b718d629,14782.82,1712000212,193
1dcc6832,25888.84,1712000213,419
0a6fcf08,37554.95,1712000214,374
88ac341e,42399.36,1712000215,260
b6ff0bf3,13466.83,1712000216,337
2568ce4e,39353.36,1712000217,355
14526221,10381.63,1712000218,444
c78dfa2a,38925.84,1712000219,295
9f43a929,47765.85,1712000220,442
0bcab2d6,28524.53,1712000221,474
7c214b29,12489.2,1712000222,421
f6abb1fa,45122.85,1712000223,461
424c326d,48225.45,1712000224,405
c63e5f1b,6640.67,1712000225,209
4d27127b,5398.25,1712000226,182
d20665ab,39673.65,1712000227,378
644e1849,36684.94,1712000228,457
ba1522a0,46587.1,1712000229,228
c9737337,15544.69,1712000230,301
72a9eec6,7810.61,1712000231,143
01b58eb0,29527.63,1712000232,399
518634c8,22478.44,1712000233,142
380c6580,9222.37,1712000234,400
07427ace,23148.92,1712000235,355
fb3f99f8,1994.84,1712000236,166
9a0983fb,10336.06,1712000237,412
b7eba130,45293.53,1712000238,332
6d9f4fe7,2178.5,1712000239,451
8456295b,18652.98,1712000240,276
fa53df41,42877.84,1712000241,304
88a538e1,40711.83,1712000242,379
43a0c65d,18896.55,1712000243,325
68d00a0a,39020.11,1712000244,132
5a38e4ef,29327.72,1712000245,235
6f47d574,10764.34,1712000246,371
19568881,24163.45,1712000247,299
69acd51b,7637.66,1712000248,430
3a4eb255,43112.6,1712000249,361
e360811d,17387.43,1712000250,399
caaa20a5,13930.73,1712000251,480
11fa872f,13926.76,1712000252,449
288786ec,20716.61,1712000253,456
b1e26d53,35959.56,1712000254,219
9863de12,39219.9,1712000255,209
ada3195f,21768.07,1712000256,488
f0f05a31,26351.5,1712000257,197
9b654fb6,38391.83,1712000258,215
4732b1c0,35135.24,1712000259,460
58b3e215,29905.77,1712000260,367
7b753b8b,30389.21,1712000261,226
fd071365,36838.36,1712000262,286
8e42c4b0,19610.82,1712000263,137
fbc4f6fb,48712.32,1712000264,175
0d69fe59,44477.56,1712000265,338
2a83d48b,34549.1,1712000266,494
00f8aef9,5649.7,1712000267,149
54462844,11001.12,1712000268,302
7324633d,37927.37,1712000269,143
24e9f167,23057.65,1712000270,394
15a2de35,32436.61,1712000271,399
86008fc6,3615.16,1712000272,463
f05ae244,19416.32,1712000273,488
eeda8ed8,4968.16,1712000274,149
c54c921a,34717.21,1712000275,186
f0a21e3e,3923.25,1712000276,471
afaec4de,2036.58,1712000277,273
b2a2d96f,12439.86,1712000278,284
fb33beed,5382.23,1712000279,225
0bd73fd2,20999.05,1712000280,350
06a79ca1,23501.41,1712000281,439
6b4ea473,23737.35,1712000282,495
9f97ca38,11468.92,1712000283,395
6a4f4faa,30991.72,1712000284,373
5699101b,39102.65,1712000285,260
105eacb6,28434.66,1712000286,185
7a158012,6929.32,1712000287,440
c232f675,42047.09,1712000288,339
5b63ad06,26636.38,1712000289,120
dbfb0ed3,23537.23,1712000290,190
ca4f473f,43211.37,1712000291,331
9dade1c9,40644.84,1712000292,402
f4c31205,9268.5,1712000293,256
4311efd1,39853.27,1712000294,261
d48f42fe,3241.41,1712000295,160
f05fb7b6,18813.65,1712000296,195
15e60319,18269.93,1712000297,147
0805facb,37598.41,1712000298,259
0815b1fd,23142.71,1712000299,403
94fbf750,49495.3,1712000300,238
9ec29d0a,38444.61,1712000301,429
145bd13e,36415.02,1712000302,408
ee4fa565,41813.76,1712000303,325
aeb03c32,6426.5,1712000304,357
d3d955aa,13253.86,1712000305,249
0f9080ec,16583.02,1712000306,340
a8e922fc,37639.78,1712000307,243
f022455f,21209.91,1712000308,188
f47073be,4855.89,1712000309,110
12e2df8b,12493.01,1712000310,185
8a797143,44551.0,1712000311,385
40a18b96,15037.38,1712000312,118
a0d7fb53,31153.59,1712000313,371
65c027d5,18121.35,1712000314,346
ed824ffa,8123.91,1712000315,119
